county,PCT_white,PCT_nonwhite
Chittenden ,87.2,12.8
Addison ,90.8,9.2
Grand Isle ,91.7,8.3
Windham ,91.7,8.3
Lamoille ,92.3,7.7
Franklin ,92.6,7.4
Bennington ,92.7,7.3
Washington ,93.2,6.8
Caledonia ,93.3,6.7
Windsor ,93.3,6.7
Orange ,93.8,6.2
Rutland ,93.9,6.1
Orleans ,94.5,5.5
Essex ,94.7,5.3
